% Left leg v8 F150
0	3.5
1.113656028	2.5
2.227312057	3
3.340968085	3.5
4.454624113	3
5.568280141	3
6.68193617	3
7.795592198	3
8.909248226	3
10.02290425	3
11.13656028	3.5
12.25021631	2.5
13.36387234	2.5
14.47752837	3
15.5911844	3
15.99478583	3
16.29926454	4
17.21117242	4.5
18.1674085	5
19.15950284	5.5
20.49283617	5.5
21.82616951	5.5
23.50074183	5
24.83407516	5
26.1674085	5
27.15950284	5.5
28.18120184	6
29.22775661	6.5
30.29547593	7
31.38143377	7.5
32.48327141	8
33.59905965	8.5
34.53302209	9.5
35.68205874	10
36.84001066	10.5
37.84611216	11.5
38.87923044	12.5
39.93519224	13.5
41.01072063	14.5
41.98844027	16
43.10246592	17
44.03276093	19
45.09017682	20.5
46.08475441	22.5
47.10740145	24.5
48.15367615	26.5
49.22010849	28.5
50.30393599	30.5
51.34648361	33
52.4618804	35
53.53876393	37.5
54.63122216	40
55.7373316	42.5
56.81379145	45.5
57.90535667	48.5
58.97325254	52
60.05676373	55.5
61.12118523	59.5
62.23193051	63
63.32360888	67
64.45537769	70.5
65.56837718	74.5
66.71678372	78
67.84682783	82
68.98460487	86
70.10621229	90.5
71.25795201	94.5
72.43700467	98
73.59881779	102
74.76530141	106
75.91598779	110.5
77.09104729	114.5
78.25047148	119
79.43256645	123
80.63591982	126.5
81.82316182	130.5
83.03063439	134
84.2221756	138
85.41570085	142
86.62817415	145.5
87.84189	149
89.09047672	149.5
90.39006241	149.5
91.72339575	149.5
% relax	
0.1666666667	150
0.3333333333	147.5
0.5	145.5
0.6666666667	142.5
0.8333333333	140
1	138
1.166666667	136.5
1.333333333	135.5
1.5	134.5
1.666666667	133.5
1.833333333	132.5
2	131.5
2.166666667	130.5
2.333333333	129
2.5	128.5
2.666666667	127.5
2.833333333	127
3	126.5
3.166666667	126
3.333333333	125.5
3.5	125
3.666666667	124.5
3.833333333	124
4	124
4.166666667	123.5
4.333333333	123
4.5	122.5
4.666666667	122.5
4.833333333	122
5	121.5
5.166666667	121
5.333333333	121
5.5	121
5.666666667	120.5
5.833333333	120.5
6	120
6.166666667	120
6.333333333	119.5
6.5	119.5
6.666666667	119
6.833333333	119
7	118.5
7.166666667	118.5
7.333333333	118.5
7.5	118
7.666666667	118
7.833333333	117.5
8	117.5
8.166666667	117.5
8.333333333	117.5
8.5	117
8.666666667	117
8.833333333	117
9	117
9.166666667	117
9.333333333	116.5
9.5	116.5
9.666666667	116.5
9.833333333	116.5
10	116.5
10.16666667	116
10.33333333	116
10.5	116
10.66666667	116
10.83333333	116
11	116
11.16666667	116
11.33333333	115.5
11.5	115.5
11.66666667	115.5
11.83333333	115.5
12	115
12.16666667	115
12.33333333	115
12.5	115
12.66666667	115
12.83333333	115
13	114.5
13.16666667	114.5
13.33333333	114.5
13.5	114.5
13.66666667	114.5
13.83333333	114
14	114
14.16666667	114
14.33333333	114
14.5	114
14.66666667	113.5
14.83333333	113.5
15	113.5
15.16666667	113.5
15.33333333	113.5
15.5	113
